peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
1.18,0.082,23,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.264,0.084,24,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.349,0.085,25,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.436,0.087,26,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.525,0.089,27,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.615,0.09,28,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.706,0.091,29,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.798,0.092,30,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.892,0.094,31,Mixto,1,COBB500 - 2018,1,,-1,Poultry
1.986,0.094,32,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.081,0.095,33,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.177,0.096,34,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.273,0.096,35,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.369,0.096,36,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.466,0.097,37,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.563,0.097,38,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.661,0.098,39,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.758,0.097,40,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.855,0.097,41,Mixto,1,COBB500 - 2018,1,,-1,Poultry
2.952,0.097,42,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.049,0.097,43,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.145,0.096,44,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.24,0.095,45,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.335,0.095,46,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.43,0.095,47,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.524,0.094,48,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.617,0.093,49,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.707,0.09,50,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.797,0.09,51,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.885,0.088,52,Mixto,1,COBB500 - 2018,1,,-1,Poultry
3.973,0.088,53,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.059,0.086,54,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.144,0.085,55,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.227,0.083,56,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.309,0.082,57,Mixto,1,COBB500 - 2018,1,,-1,Poultry
4.389,0.08,58,Mixto,1,COBB500 - 2018,1,,-1,Poultry
