"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","codigoConstruccion","tipoClima","codigoZonaGeografica","zonaGeografica","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","crecimiento","peso","conversion","conversionAcumulada","raza","anio","temperaturaDeseada","stock","kilogramosCarne","ventilacionMinima","ventiladoresFuncionando","porcentajeOperacionRequerida","porcentajeOperacionRequeridaTotal","tiempoEncendido","tiempoApagado","cicloVentilacion","active","created_at","updated_at"
754,ROSS - 2017,1,14,3,Mixto,1,,-1,Sin Información,0.068,0.527,0.136,1.076,0.052,0.035,,0.488,1.081,1.081,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:37"
755,ROSS - 2017,1,15,3,Mixto,1,,-1,Sin Información,0.074,0.601,0.148,1.224,0.056,0.036,,0.544,1.105,1.105,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:01"
756,ROSS - 2017,1,16,3,Mixto,1,,-1,Sin Información,0.08,0.681,0.16,1.384,0.059,0.038,,0.603,1.129,1.129,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:54"
757,ROSS - 2017,1,17,3,Mixto,1,,-1,Sin Información,0.086,0.766,0.172,1.556,0.063,0.039,,0.666,1.151,1.151,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:08"
758,ROSS - 2017,1,18,3,Mixto,1,,-1,Sin Información,0.091,0.858,0.182,1.738,0.066,0.041,,0.732,1.171,1.171,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:41"
759,ROSS - 2017,1,19,3,Mixto,1,,-1,Sin Información,0.097,0.955,0.194,1.932,0.07,0.042,,0.802,1.19,1.19,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:24"
760,ROSS - 2017,1,20,3,Mixto,1,,-1,Sin Información,0.103,1.057,0.206,2.138,0.073,0.044,,0.875,1.208,1.208,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:31"
761,ROSS - 2017,1,21,3,Mixto,1,,-1,Sin Información,0.11,1.167,0.22,2.358,0.076,0.045,,0.951,1.227,1.227,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:45"
762,ROSS - 2017,1,22,3,Mixto,1,,-1,Sin Información,0.117,1.284,0.234,2.592,0.079,0.047,,1.03,1.247,1.247,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:18"
763,ROSS - 2017,1,23,3,Mixto,1,,-1,Sin Información,0.123,1.407,0.246,2.838,0.081,0.048,,1.111,1.267,1.267,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:23"
764,ROSS - 2017,1,24,3,Mixto,1,,-1,Sin Información,0.128,1.535,0.256,3.094,0.083,0.05,,1.194,1.286,1.286,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:11"
765,ROSS - 2017,1,25,3,Mixto,1,,-1,Sin Información,0.134,1.669,0.268,3.362,0.086,0.051,,1.28,1.305,1.305,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:53"
766,ROSS - 2017,1,26,3,Mixto,1,,-1,Sin Información,0.14,1.81,0.28,3.642,0.088,0.053,,1.368,1.323,1.323,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:47"
767,ROSS - 2017,1,27,3,Mixto,1,,-1,Sin Información,0.146,1.956,0.292,3.934,0.089,0.054,,1.457,1.342,1.342,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:48"
768,ROSS - 2017,1,28,3,Mixto,1,,-1,Sin Información,0.152,2.108,0.304,4.238,0.092,0.055,,1.549,1.361,1.361,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:52"
769,ROSS - 2017,1,29,3,Mixto,1,,-1,Sin Información,0.158,2.265,0.316,4.554,0.094,0.057,,1.642,1.38,1.38,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:30"
770,ROSS - 2017,1,30,3,Mixto,1,,-1,Sin Información,0.164,2.429,0.328,4.882,0.095,0.058,,1.737,1.399,1.399,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:45"
771,ROSS - 2017,1,31,3,Mixto,1,,-1,Sin Información,0.169,2.598,0.338,5.22,0.096,0.059,,1.833,1.418,1.418,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:09:29"
772,ROSS - 2017,1,32,3,Mixto,1,,-1,Sin Información,0.174,2.772,0.348,5.568,0.097,0.06,,1.93,1.437,1.437,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:10:06"
773,ROSS - 2017,1,33,3,Mixto,1,,-1,Sin Información,0.179,2.952,0.358,5.926,0.098,0.061,,2.027,1.456,1.456,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:08:03"
774,ROSS - 2017,1,34,3,Mixto,1,,-1,Sin Información,0.184,3.136,0.368,6.294,0.098,0.063,,2.126,1.475,1.475,Ross,2017,,,,,,,,,,,0,"2020-09-01 15:16:28","2023-05-29 17:07:51"
